"Q" "C"
"AA" 0.000236408350247831 0.000220537635677649
"AC" 6.23943977256934e-05 6.09104898762474e-05
"AD" 0.00151275610130006 0.00128693712421652
"AE" 0.000538404381675946 0.000418299191337362
"AF" 4.33833976158538e-05 4.11228605814287e-05
"AH" 0.00440900752864778 0.00324758322517948
"AI" 3.1193936321712e-05 3.01662340406779e-05
"AM" 0.00181325370785293 0.00149705633316523
"AQ" 0.00351440423226443 0.00295254035288011
"AY" 0.000853894507501391 0.000531574331680782
"AZ" 0.000803583678375517 0.000572311461874702
"BA" 0.00157361839076825 0.00134176379868512
"BD" 0.000441234771298021 0.000372469584948932
"BF" 9.0611565576333e-05 8.03214715867282e-05
"BI" 1.69608039661872e-05 1.62188307217723e-05
"BK" 0 0
"BM" 1.97848620632381e-06 1.92595267374328e-06
"BP" 1.52522764475313e-06 1.41292261293153e-06
"BQ" 7.0322347194161e-06 6.35395424438384e-06
"BU" 8.71394588699645e-05 8.65813271011357e-05
"BV" 0.000313434752373028 0.00025765293331955
"CN" 0.00194802045365734 0.0015304826642435
"CO" 0.011225345865147 0.00687453385586829
"CQ" 0.0784384965972166 0.0418931879635561
"CT" 8.72714153390098e-05 5.46228811144714e-05
"CU" 0.00622579282309007 0.00314172738357343
"DA" 0.0108269805547511 0.00601324339352805
"DB" 0.0192021595369376 0.0110902148848181
"DE" 0.00869746671433519 0.00650044857320682
"DI" 4.07566362446652e-05 4.03290646687607e-05
"DK" 9.80677737387544e-06 9.74438630000453e-06
"DM" 0.0307101105317163 0.0212269517627291
"DQ" 0.00712193978150432 0.00598383019620127
"DR" 0.0297012813738287 0.0166633036617963
"DS" 0.00265592941398576 0.00214202173035749
"DT" 7.92796332222926e-05 7.55346367215355e-05
"DW" 0.0102805334010053 0.00751780886562848
"DX" 0.0139968093318802 0.00811407085492933
"DY" 0.0133440231820176 0.010722407112297
"EA" 0.0169339118436144 0.0134033870571988
"EC" 0.00108819697671292 0.000969027945410123
"EE" 0.00287697623944578 0.00240035921736404
"EI" 0.00261750743892296 0.00227120565963845
"EN" 0 0
"EO" 0 0
"EP" 0.000144682154184565 0.000138646412839209
"EQ" 0.000579847098545855 0.000516797773514377
"ER" 3.37876163105323e-06 3.1970809004971e-06
"ES" 7.82079828500382e-06 7.66816965255836e-06
"ET" 0.0004666913217697 0.000441119889039809
"EU" 3.93009600495985e-05 3.78417022948973e-05
"EV" 0.00154273721341358 0.00126103749025612
"EW" 2.55698231884134e-05 2.50099162494655e-05
"EX" 7.92838545885948e-05 7.68050545664328e-05
"FA" 0.000260549823846004 0.00024656165152908
"FE" 1.52526745882059e-05 1.46046027395958e-05
"FF" 0.00208039614027997 0.00182376749692937
"FI" 0.000271946628073344 0.000231810320183288
"FS" 3.23299696883767e-07 2.83564440165387e-07
"FU" 2.75662375060749e-05 2.55938502524906e-05
"FY" 0.00139633167958092 0.00128591116240189
"GA" 0.00466469805156963 0.00380426015329969
"GC" 0.000870498151497858 0.000835353042417779
"GM" 0.00281822030741967 0.00236235865156186
"GU" 0.00630366601928788 0.00518056172567424
"GY" 0.000159325285315405 0.000155417131735478
"HA" 4.56101004360353e-05 4.41786362134091e-05
"HB" 6.91524373332255e-05 6.30546727880294e-05
"HE" 2.98061406929369e-05 2.75843585803916e-05
"HF" 2.3780284903151e-05 2.18575863151421e-05
"HI" 3.49231569950416e-05 3.35488644810526e-05
"HL" 0.0006585054491658 0.000553008839695702
"HQ" 0.000280440747727707 0.000247888112772536
"HT" 0.00084098965504528 0.000629402600030139
"HY" 0.00539586076729671 0.00344846801958517
"IA" 0.0185390704028812 0.011993372033858
"ID" 0.000698315044075667 0.000613040685200048
"IF" 0.000142346968932711 0.00013106771280651
"IG" 0.00111817471899565 0.000860841241145626
"IH" 0.0129311794976227 0.0100266731538493
"II" 0.00146638438005903 0.00124716045750584
"IJ" 0.000287046848938422 0.000277741795682545
"IK" 4.95236802792328e-05 4.76763859909854e-05
"IL" 1.36988847404717e-06 1.29707225797421e-06
"IM" 0.00127838683611654 0.0010900021304612
"IO" 1.26110296467382e-05 1.1951250562853e-05
"IP" 3.24834605247081e-05 3.00497405734189e-05
"IQ" 0.000110395596902885 0.000107252477564388
"IU" 0.000590311652311658 0.000565160370122777
"IX" 2.27470359955718e-05 2.20001711342022e-05
"IY" 0.00238998924588353 0.00189415749058734
"JA" 0.0850113749434053 0.0622024895142401
"JB" 0.000129770612878113 0.000114742780555885
"JI" 0.000351124479371105 0.000323221221488709
"JM" 2.70502976534106e-06 2.50524247418926e-06
"JO" 4.21279180940642e-05 3.95955877117215e-05
"JS" 3.5001634365263e-06 3.42654439628751e-06
"JU" 0.00276758601720489 0.00234737204713076
"JW" 0 0
"JY" 0.0212573631361833 0.0162345250412038
"KA" 0.000128348505774018 0.000111581079348996
"KI" 0.00706697931405408 0.00579410149948511
"KM" 0.0259635045236876 0.0153373381766089
"KU" 2.57799791673435e-05 2.41756213656808e-05
"KV" 0.000103998811300224 9.41879455521265e-05
"KY" 6.58492337737289e-05 6.32681851640584e-05
"LE" 0.00105473474813562 0.000965965392567918
"LI" 0.00119122883920208 0.000835604716007751
"LJ" 0.000192957771363875 0.000166170901795951
"LQ" 0.000293086306632499 0.00025011954768449
"MA" 0.00761417097163743 0.00537896956339971
"MC" 0.000567391525793029 0.000345408704024312
"ML" 2.21918590231663e-05 1.82541911260414e-05
"MM" 1.37680758016897e-05 1.35897971049526e-05
"MQ" 7.15055770528403e-05 6.19448142877884e-05
"MR" 2.03487222916347e-06 1.98933344546721e-06
"MU" 0.000317202919932272 0.000261942904035289
"MW" 2.503939164297e-06 2.39626743650748e-06
"MY" 0.000416792450947843 0.000377808186596476
"NE" 0.0374716552591216 0.0283397736148159
"NI" 0.0153943331191829 0.0111262030910526
"NM" 9.08459377615723e-06 8.88585073149048e-06
"NN" 0.00382504153720889 0.00299065862728127
"NQ" 0.000242595593701376 0.000233926692755958
"NS" 0.00197602940380409 0.00174320145360434
"NU" 7.84945521083701e-05 7.60923698655382e-05
"OA" 0.000359699010222511 0.000324102689737872
"OE" 1.97624574352033e-05 1.92952457183232e-05
"OI" 0.00206352862470178 0.0012826631659061
"OM" 5.00794185492633e-05 4.86645528799594e-05
"OO" 2.35180972194125e-05 1.97008380562628e-05
"OP" 0.00496876482109194 0.0035208344400463
"OR" 6.12280059747143e-07 6.01118167258665e-07
"OT" 2.2446607965436e-05 2.12630217868676e-05
"OU" 0.00074547903965102 0.000601701019949266
"OX" 3.73414942381792e-07 3.64155167760167e-07
"OY" 2.08553253955107e-06 2.05026499794654e-06
"OZ" 4.02563333272819e-06 3.56704533827231e-06
"PA" 0 0
"PC" 5.21059161021958e-05 5.1542376911026e-05
"PD" 0 0
"PE" 5.31355009224958e-05 5.19741083292448e-05
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.0157471996457915 0.0127809835786982
"PJ" 4.42993915442733e-05 3.80850273854572e-05
"PK" 5.41532544409574e-05 5.09586702456621e-05
"PM" 0.00224512342134019 0.00203849922824858
"PN" 6.83146212202605e-05 6.7098176205969e-05
"PO" 0.000731393008542128 0.000675415623907482
"PQ" 1.63808346658418e-05 1.63088464943728e-05
"PS" 0.000533028830805943 0.000515061344414118
"PT" 0.000334496916573602 0.000275665729431648
"PU" 0.000153771268365721 0.000148049440268797
"PW" 0.0039645299404104 0.00231074565553087
"PY" 0.0138443445210694 0.00968361907068492
"PZ" 0.000113018492999335 0.0001078177195364
"QA" 0.0100151472276786 0.00522532647769491
"QC" 1.86930847336609e-06 1.85134095672786e-06
"QD" 0 0
"QE" 0.000894268404360551 0.000693698235633763
"QF" 2.66355601952096e-05 2.51065309176823e-05
"QG" 5.71980181215575e-05 5.37010587978634e-05
"QH" 1.74974807758525e-05 1.66643403418537e-05
"QJ" 8.14810675312023e-05 7.00307685639067e-05
"QK" 0 0
"QQ" 0.00252539315460612 0.00229879416271143
"QU" 0.00830440316610869 0.00585439195579097
"RA" 0.000390878108106987 0.000251189067831789
"RB" 4.165477768523e-06 4.00466203632013e-06
"RE" 0.000160143714889625 0.000152298396838151
"RO" 0.00061102777603821 0.000299035162220357
"RP" 8.06543719667706e-06 7.55392740585915e-06
"RQ" 0.000689348496272628 0.000469064825064029
"RT" 0.00612597257054641 0.004903084303007
"RU" 0.0234684458020653 0.0176603103222552
"RX" 0.000191996042520512 0.000163060134045952
"RY" 0.000886001099443083 0.000807390919013337
"RZ" 0.000282867433142456 0.000243003095676005
"SA" 0.00877284146121571 0.00608271406350911
"SD" 0.00357430712799773 0.00297109890846861
"SI" 0.00203268521008256 0.0018164854305724
"SR" 1.48618974485464e-05 1.36789974120263e-05
"SU" 0.00225321628944789 0.00201605411745846
"SY" 0.000102194301908377 9.78416567636644e-05
"TA" 0.000269609999691978 0.00023730564434278
"TC" 0.00057085839954893 0.000526845368501255
"TD" 0.000653731131479699 0.000567541037704594
"TE" 3.63656186130984e-05 3.45558564028929e-05
"TI" 0.000915021391206125 0.000652799890598231
"TM" 0.00679432645163025 0.00427188602407704
"TQ" 0.00429652947434412 0.00338574633180424
"TU" 0.0830111663162256 0.0442279850391808
"UA" 4.80646225919142e-06 4.64359761291477e-06
"UB" 0.000618358220190545 0.000576009963775054
"UE" 1.99164500275151e-05 1.80254321764633e-05
"UF" 2.91151202227172e-05 2.78220658477031e-05
"UH" 0.000464541233336838 0.000420063813490809
"UI" 9.8428998352752e-05 9.42058810432711e-05
"UK" 0.000442129339974975 0.00041384004413766
"UM" 0.00895482816012464 0.00551347771462338
"UN" 7.35039434021351e-05 7.24465301614117e-05
"UP" 1.88808889823758e-05 1.87839307334194e-05
"UQ" 2.66318127994456e-05 2.5542877557371e-05
"UR" 1.71695733429522e-05 1.65543122674787e-05
"UT" 1.6716237748091e-07 1.67064190745641e-07
"UU" 1.92779098147296e-05 1.90403625862159e-05
"UY" 0.000421372486767934 0.000375316658105626
"VE" 0.00452804767280254 0.00371560941932676
"VI" 0.000756678782920474 0.000634072886427325
"VJ" 0.000288824187060521 0.000247056403524379
"VM" 1.62692027322734e-05 1.57460055356591e-05
"VP" 1.32047829330214e-05 1.22984825676926e-05
"VS" 2.27276220511685e-05 2.14108753529827e-05
"VX" 0.000165135615978254 0.000146532253497653
"VY" 0.0029197764511782 0.00246946651141632
"WC" 0.000224576957273578 0.000195467154884186
"WE" 0.00592399453002436 0.00464875712495681
"WF" 0.00573940613062795 0.00452720033088648
"WH" 0.00141662644002644 0.00122017502099955
"WM" 3.07991414983189e-05 2.71479076518136e-05
"WQ" 2.2537532076089e-05 2.16126317061544e-05
"WU" 0.000126110693761749 0.00011169631472776
"WV" 0.000144408839738636 0.000120640777409155
"WY" 1.91691282243242e-05 1.79035743325067e-05
"XA" 4.85601334135406e-05 4.65321096290792e-05
"XE" 0.00166912543325118 0.00141286016888667
"XQ" 0.0019484585304043 0.00155085822475699
"XW" 0.00105653577809786 0.000941520478207002
"XY" 0.0008982198759787 0.000818433626319254
"YA" 0.00356737343711119 0.00304368909409802
"YE" 2.14733680330312e-05 2.1258953397163e-05
"YG" 3.7483507256807e-06 3.70901535417105e-06
"YI" 8.19202905777347e-06 7.85355056787487e-06
"YO" 0.14537307079873 0.0724769852548102
"YP" 0.00162656113990025 0.00130115587634011
"YQ" 8.14411812579665e-05 7.68921501152901e-05
"YR" 1.07642931612524e-05 1.04798921144744e-05
"YU" 0.00113490908270472 0.000874350506839539
"YY" 1.35623998418457e-05 1.28724062259217e-05
"ZA" 0.00488647284590419 0.00414833056585917
"ZC" 0.00608808457855986 0.00494199895277624
"ZD" 0.00597072897782464 0.00456655428263104
"ZE" 0.00108855063387491 0.000795355211304852
"ZK" 3.73433050994209e-05 3.25741095470395e-05
"ZM" 0.00520524999640345 0.00398787173329115
"ZQ" 3.64562228141737e-05 3.4331410538877e-05
"ZR" 0.00445638088740855 0.00366536816628826
