"Q" "C"
"AA" 0.000327614470608511 0.000303703587468508
"AC" 0.00012903583492863 0.000127524127431575
"AD" 8.65687132691839e-05 7.89116793367214e-05
"AE" 4.35243956336774e-06 4.05266461734819e-06
"AF" 0 0
"AH" 1.29078493049129e-05 1.16009813990242e-05
"AI" 1.1448486529769e-05 1.12859476000982e-05
"AM" 2.0512662342894e-06 1.92920863866296e-06
"AQ" 0.000546065876484738 0.000391586500746765
"AY" 0.000615533414624228 0.000410496017088596
"AZ" 7.20156726864998e-05 5.21310038029183e-05
"BA" 0.00305401726801894 0.00240917303104471
"BD" 4.29752600547805e-06 4.16226257807867e-06
"BF" 5.07087573092655e-05 4.6734415326843e-05
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 1.02151410864211e-06 9.98541623397159e-07
"BQ" 1.10234716567283e-05 1.03515004005588e-05
"BU" 1.10972284782848e-07 1.10854874693169e-07
"BV" 2.56569543111844e-05 2.26890935189701e-05
"CN" 0.000119578426289476 0.000104087942628199
"CO" 0.00214848270858789 0.00165317095847019
"CQ" 0.0193707747523374 0.0132029509330672
"CT" 0.00191501262484665 0.00115958028864688
"CU" 0.0020506663128734 0.00128678489066287
"DA" 0.00294647907423348 0.00206749680526904
"DB" 0.00787227326588175 0.00567868334037594
"DE" 8.5091678217212e-05 7.47342696057121e-05
"DI" 1.37447582058107e-05 1.3677924230188e-05
"DK" 3.62860419616325e-06 3.61914945789685e-06
"DM" 0.0287515236194754 0.0188791889223242
"DQ" 0.0385437552741711 0.0265486256566445
"DR" 0.0230574397663504 0.0149487595119057
"DS" 0.00753621775868306 0.00477274804394731
"DT" 3.05815147697281e-05 3.030492804564e-05
"DW" 6.00068822856194e-05 5.38703011703933e-05
"DX" 0.000498035746648437 0.000373010565948123
"DY" 0.000750039324805546 0.000693549117305876
"EA" 0.000526252004470419 0.000485958945540363
"EC" 4.51209396130741e-05 4.35683530700424e-05
"EE" 0.000190364926833642 0.000177429477813207
"EI" 0.000308610494155475 0.000297075072885861
"EN" 0 0
"EO" 0 0
"EP" 8.94990124136414e-05 8.71331835549348e-05
"EQ" 0.000563391523224055 0.000515900254680245
"ER" 6.17555202296007e-06 5.950239113189e-06
"ES" 7.50812869851952e-06 7.41996157656271e-06
"ET" 7.09398479353381e-05 6.85427630973634e-05
"EU" 0.000272977516222331 0.000264438480932169
"EV" 0.000346810369406245 0.000310348034711826
"EW" 1.85316498532586e-05 1.82692072259822e-05
"EX" 4.91191313982779e-05 4.80845166400451e-05
"FA" 1.42282322275151e-06 1.40849337330391e-06
"FE" 2.48994063981515e-06 2.41421238369506e-06
"FF" 0.0004911462225923 0.000346582980661342
"FI" 1.98198491849851e-05 1.86920751285837e-05
"FS" 0 0
"FU" 1.37272434454975e-05 1.29296191385064e-05
"FY" 0.00106595489617509 0.000942288759963053
"GA" 0.00282931769351544 0.00213375252610215
"GC" 4.53279017009336e-06 4.512719693403e-06
"GM" 0.000149278359489019 0.000132495476336899
"GU" 4.16862754122099e-05 3.96891806431081e-05
"GY" 0.000192933466632669 0.000190780767277725
"HA" 5.41845971837484e-05 5.27867211442528e-05
"HB" 7.1594890087852e-05 6.49624513384169e-05
"HE" 9.05594384630807e-06 8.48269190135699e-06
"HF" 0.000358877566737887 0.000329970275359787
"HI" 1.35016536310485e-05 1.31168042048601e-05
"HL" 0.00173884940658482 0.0013793708126741
"HQ" 3.88061456010986e-05 3.76253827917638e-05
"HT" 7.18304505954221e-05 6.29105683737669e-05
"HY" 0.00264561734810279 0.00194972807058474
"IA" 0.0121200859935708 0.00839548474051631
"ID" 1.18605682618873e-05 1.158767046886e-05
"IF" 3.00671520016076e-05 2.92474915223171e-05
"IG" 0.0135260277482899 0.0100463021663319
"IH" 4.0175846873969e-05 3.89486802954272e-05
"II" 0.00027971327558144 0.000270809635401998
"IJ" 1.58277548148784e-05 1.55793112180219e-05
"IK" 3.95549140225507e-05 3.90157222523568e-05
"IL" 2.09679211773907e-06 2.07691084018958e-06
"IM" 1.11312494215964e-05 1.09252580030815e-05
"IO" 1.73213261900184e-06 1.72332452336141e-06
"IP" 8.1187982635395e-06 8.03869469085198e-06
"IQ" 0.000238184240442984 0.000234610520648911
"IU" 0.000209528478320303 0.000206728787366961
"IX" 2.21960422749236e-06 2.21356374196613e-06
"IY" 1.91612530338009e-05 1.72339176586374e-05
"JA" 0.000148473293724875 0.000141455524488813
"JB" 1.7180010008981e-06 1.69591457296617e-06
"JI" 1.35781409435846e-05 1.27722240324972e-05
"JM" 2.14024870620301e-05 2.01309257081528e-05
"JO" 2.86090240148595e-05 2.71345638666927e-05
"JS" 6.21433601312537e-06 6.12027161682827e-06
"JU" 3.22015201128833e-06 2.98594287014903e-06
"JW" 0 0
"JY" 0.000188812954791833 0.000168332806916417
"KA" 0 0
"KI" 0.0364474067259099 0.0248774686430095
"KM" 0.00614772745038421 0.00441657117661237
"KU" 6.11098099884911e-06 6.04709279081315e-06
"KV" 3.30094987678351e-06 3.25934996719876e-06
"KY" 2.26124158724784e-06 2.2525139896732e-06
"LE" 1.64932325945634e-05 1.63539700936772e-05
"LI" 0.00064520560271067 0.000467342523877938
"LJ" 0.000310284087506084 0.000266719831874435
"LQ" 0.000971552406520561 0.00080845127798033
"MA" 0.0602952855466661 0.0343560705440223
"MC" 0.000263116572637798 0.000197423674539212
"ML" 9.62480181922542e-06 7.0940316589692e-06
"MM" 3.87631158429232e-06 3.85081442609603e-06
"MQ" 6.62123598681929e-05 5.9896056618296e-05
"MR" 2.34347354335543e-06 2.31426715034875e-06
"MU" 7.66135581481584e-07 7.10528183310223e-07
"MW" 0 0
"MY" 0.000330814191484486 0.000307392829803825
"NE" 0.00389199047593016 0.00307056505825783
