"Q" "C"
"AA" 0.00100117070489782 0.000915846980918796
"AC" 0.00102638317087069 0.000882354216495913
"AD" 4.99353777464458e-05 4.87623430502999e-05
"AE" 0.000337599938019981 0.000306443065318658
"AF" 0.00047065855594035 0.000387556817840223
"AH" 0.000130403230735268 0.000122115800866013
"AI" 0.000619324841335595 0.000558901743571828
"AM" 7.34343790388908e-06 7.03624099476685e-06
"AQ" 5.94645535883541e-05 5.69554215602659e-05
"AY" 2.86611681496677e-05 2.67177218924007e-05
"AZ" 3.83135890637691e-06 3.60485178954066e-06
"BA" 0.000150885413397373 0.000141508575548013
"BD" 0.000286344098819461 0.000265789935958571
"BF" 0.00187261804609731 0.00171805524508721
"BI" 0.000238732643983138 0.000231169669703771
"BK" 0.000129741373424139 0.000101140275216931
"BM" 0.000453042707444697 0.000388100305940217
"BP" 5.35021904426205e-05 4.83951079768893e-05
"BQ" 0.00011816726047529 9.87865294202786e-05
"BU" 8.13149266243293e-05 8.07092552440334e-05
"BV" 0.000430505448100328 0.000387890282267748
"CN" 0.0034236721762861 0.00310359867602011
"CO" 0.000139205074711233 0.000131423601427611
"CQ" 0.000260129073870196 0.000247397557145893
"CT" 0 0
"CU" 0.000563009887188021 0.000509179531848112
"DA" 0.000790104611234248 0.000749417177463197
"DB" 0.000280126046278918 0.000261200199126374
"DE" 2.37702894198886e-05 2.30332471758438e-05
"DI" 0.0102693154327367 0.00858202163100049
"DK" 0.00389106987038733 0.00340819524042434
"DM" 0.000136245578909952 0.000128588946411067
"DQ" 0.000316576352788943 0.000302612503438039
"DR" 3.92554574714861e-05 3.75059966395343e-05
"DS" 0.00336799655875446 0.00310322065477877
"DT" 0.000515281736771576 0.000479492479356529
"DW" 0.000131911484438513 0.000124734820343438
"DX" 5.00526085819842e-05 4.74947287205885e-05
"DY" 7.90284425276823e-05 7.55369380877418e-05
"EA" 0.000221321105873242 0.0002111058734102
"EC" 1.17495006462225e-05 1.14998569414007e-05
"EE" 3.83135890637691e-06 3.7556103074193e-06
"EI" 0.000215659922524995 0.000205561557060858
"EN" 7.3889710290267e-05 6.20925357143548e-05
"EO" 0 0
"EP" 0.00367929399146377 0.0030975770457727
"EQ" 0.0028597771406624 0.00249750571552313
"ER" 0.000509764582786921 0.000413460691631147
"ES" 0.000910759485015777 0.000780439883025468
"ET" 0.00272922808018607 0.00225975583621598
"EU" 0.00113749535412441 0.000984532383109904
"EV" 0.00748119719226978 0.00585237428010132
"EW" 0.00230530018400268 0.00200126353715703
"EX" 0.00323430875050381 0.00278630518109302
"FA" 0.00154597965421537 0.00134075154310342
"FE" 0.000696608944263214 0.000621436658961843
"FF" 0.00218064220860913 0.00200510596540313
"FI" 2.63048521930355e-06 2.54834945680724e-06
"FS" 0 0
"FU" 0.00109868457369502 0.000890477118684673
