"Q" "C"
"AA" 0.000226041044317123 0.00021497346864754
"AC" 2.48398550741987e-05 2.45218946864317e-05
"AD" 0.000353551156646905 0.000302802807612047
"AE" 0.000306986515523067 0.000266661500919232
"AF" 1.35487740544419e-05 1.30565761052151e-05
"AH" 0.000449659533620434 0.000373854079135994
"AI" 4.12207610836443e-06 4.05075684383577e-06
"AM" 0.000510159980446409 0.000452765643909248
"AQ" 0.00142971046232701 0.00101597206056461
"AY" 0.000141052027712443 0.000101028766211575
"AZ" 8.80372187725335e-05 6.70811288133971e-05
"BA" 0.000466763924492638 0.000400800363110243
"BD" 0.000424947910630667 0.000387230941366875
"BF" 0.000473473273543272 0.000420725521386675
"BI" 7.36086497829294e-05 7.17281942430726e-05
"BK" 0 0
"BM" 4.42631328074285e-05 4.28737271648679e-05
"BP" 1.66886202199204e-05 1.6079862164999e-05
"BQ" 4.5365188980036e-06 4.13917420365196e-06
"BU" 2.93981032343793e-06 2.93308808312194e-06
"BV" 2.30550072469351e-05 2.02394627627268e-05
"CN" 0.000368168769663408 0.000314509709491568
"CO" 0.00582746462392625 0.00414237157180493
"CQ" 0.0301434081840096 0.0192167115193526
"CT" 2.31621419422383e-06 1.6242184059566e-06
"CU" 0.00881241006575052 0.00494716691007903
"DA" 0.00244505580318094 0.00163537199677924
"DB" 0.0108820232667137 0.00676596271908016
"DE" 0.00387359608244455 0.00318589858749166
"DI" 4.97545417163763e-05 4.92203687019703e-05
"DK" 4.81636419268839e-05 4.77984936529819e-05
"DM" 0.00429136917310372 0.00319302208940654
"DQ" 0.00414574742259737 0.0034745860363243
"DR" 0.00868713950569388 0.00565876632522019
"DS" 0.00221561480812022 0.00167832572427755
"DT" 2.31621419422383e-06 2.28420145014007e-06
"DW" 0.00127441719289154 0.00108144064939864
"DX" 0.00574373065941645 0.00399328415565648
"DY" 0.00117115071086949 0.0010578159188909
"EA" 0.00150327854011317 0.00133652414349808
"EC" 0.000110712290297809 0.000105598808810367
"EE" 0.000913397652895352 0.000828922780418756
"EI" 0.000212045947385659 0.000201722925928338
"EN" 0 0
"EO" 0 0
"EP" 7.79724273595475e-05 7.58449258131753e-05
"EQ" 0.000493480834223216 0.000433568366726143
"ER" 0 0
"ES" 1.05847582478684e-05 1.04527771129245e-05
"ET" 0.000205797575520358 0.000197198811372452
"EU" 7.09177370471872e-05 6.67038563548058e-05
"EV" 0.00101750210113689 0.000890318758326238
"EW" 7.85682507781772e-05 7.73454694818759e-05
"EX" 0.000125610093666815 0.000122796219681508
"FA" 4.39752157816782e-05 4.30339289501758e-05
"FE" 1.86102775257636e-05 1.74035025864454e-05
"FF" 0.00106067367807563 0.000871915217562829
"FI" 0.000102620227330557 9.49060332444434e-05
"FS" 0 0
"FU" 0.000938902217364083 0.000806714110087177
"FY" 0.0019643702073935 0.00178683736004516
"GA" 0.00737609318650723 0.00582324980626609
"GC" 3.66244929305186e-05 3.61469556325353e-05
"GM" 0.000542566842424417 0.000446329936355629
"GU" 0.00368884385397967 0.00325986741422118
"GY" 0.000681148464618092 0.000664291054964328
"HA" 0.000411984036022967 0.000390721356492057
"HB" 0.000215984040260759 0.000191274325176051
"HE" 3.61239611602728e-05 3.33186456884712e-05
"HF" 9.70603697098675e-05 8.611417896658e-05
"HI" 5.07711605820598e-05 4.83922712558248e-05
"HL" 0.00407014540931323 0.00298866770568495
"HQ" 2.09881264549267e-05 2.00672015950161e-05
"HT" 0.00381785705094563 0.00306089245131218
"HY" 0.000555568101995998 0.000407651446430535
"IA" 0.00352492583990992 0.00251747881696102
"ID" 0.000310487874152898 0.000296620577533171
"IF" 4.62739100114722e-05 4.47560996916158e-05
"IG" 0.000320635944878199 0.000264906262703695
"IH" 0.000583097467221577 0.000535244083775876
"II" 0.000128939884900378 0.000121905858582015
"IJ" 4.68430458919845e-05 4.55556396426274e-05
"IK" 2.41789822310732e-05 2.38174773221708e-05
"IL" 0 0
"IM" 8.59148747328208e-05 8.17553452049698e-05
"IO" 1.91087671023466e-06 1.88443695429683e-06
"IP" 2.31621419422383e-06 2.26627327906933e-06
"IQ" 0.000189443498830061 0.000186939413044351
"IU" 3.22670791288105e-05 3.1796109055429e-05
"IX" 5.09567122729242e-06 5.05627245492069e-06
"IY" 0.021534533841302 0.0172351006839313
"JA" 0.00397766164536388 0.00350381803764016
"JB" 0.000129074863434634 0.000122430371360663
"JI" 8.87521269648513e-05 7.73751817217394e-05
"JM" 1.44968073580903e-05 1.24326802283664e-05
"JO" 0.000324426210799792 0.00028914675327889
"JS" 2.8309284596069e-06 2.75071711078309e-06
"JU" 0.000349751797181243 0.00030766964080829
"JW" 4.49618049466978e-07 4.3932446099804e-07
"JY" 0.00258703680949277 0.00212534012567463
"KA" 0.000106815876300697 9.94696709826235e-05
"KI" 0.00815393567044932 0.00650001599732621
"KM" 0.00911726703007261 0.00612168330404998
"KU" 0.000165089689029826 0.000158545915354582
"KV" 0.000251791666412782 0.000241740857640219
"KY" 1.29446501266316e-05 1.27770452310127e-05
"LE" 0.000268058299034522 0.000260181338897201
"LI" 0.000281610935807692 0.000202924237333447
"LJ" 0.000189953798151915 0.000157265779708192
"LQ" 0.00391623744282288 0.00280724718070188
"MA" 0.00673714684101847 0.00476384110901666
"MC" 0.000766292152085246 0.000523638541716657
"ML" 4.02110211006901e-05 2.83079303677178e-05
"MM" 7.64350684093862e-06 7.53190465570652e-06
"MQ" 4.1941578871973e-05 3.62855473230042e-05
"MR" 3.18479451705776e-06 3.09988797668846e-06
"MU" 4.75042171672542e-05 4.18495367830411e-05
"MW" 1.59239725852888e-06 1.51563057534698e-06
"MY" 0.000602090654611895 0.000540987798156618
"NE" 0.112850964241069 0.0681870930637228
"NI" 0.0651040521374724 0.0361927172547295
"NM" 0.000117083328531466 0.000112124257877432
"NN" 0.0836584145171889 0.0429445566510633
"NQ" 3.6856232908646e-05 3.49248245091223e-05
"NS" 9.30248854413162e-05 8.86707930327171e-05
"NU" 0.000189933217807332 0.00018255104751628
"OA" 7.09049312803943e-05 6.75403132982065e-05
"OE" 2.53821758160432e-05 2.48279652771984e-05
"OI" 0.00234739697178167 0.00162368255689182
"OM" 1.5991412258111e-05 1.54393028862913e-05
"OO" 0.000100599983742257 7.5860379636651e-05
"OP" 0.000823389087592116 0.000620980007489365
"OR" 2.18385909741104e-06 2.13639508708346e-06
"OT" 0 0
"OU" 5.98348137946353e-05 5.52677663442821e-05
"OX" 0 0
"OY" 0 0
"OZ" 9.55438355117328e-06 8.46272942003562e-06
"PA" 6.57714347823534e-06 6.47816424159997e-06
"PC" 3.3660490054676e-05 3.32540179721002e-05
"PD" 0 0
"PE" 5.07618471351419e-05 4.99125937103415e-05
"PF" 1.09192954870552e-05 1.08995528422169e-05
"PG" 0 0
"PH" 1.59239725852888e-06 1.58403431017802e-06
"PI" 0.000773169901729322 0.000679585396911466
"PJ" 1.35672246426661e-05 1.24997138743006e-05
