"Q" "C"
"AA" 0.000377454197388697 0.000359868393307088
"AC" 2.52863631279625e-05 2.49696984021845e-05
"AD" 0.0750942142677848 0.0482572916884103
"AE" 0.000473729158237232 0.000402224429025788
"AF" 0.000236449730038341 0.000225915746173555
"AH" 0.00476526450161344 0.00365855389823145
"AI" 5.65490450413763e-06 5.56697981015267e-06
"AM" 0.00181190118326939 0.0015803083190585
"AQ" 0.00105007724659325 0.000831898575648256
"AY" 0.00315567610370143 0.0021756541692273
"AZ" 0.000932140625832219 0.000683256472058276
"BA" 0.00434779467890385 0.00386932369542156
"BD" 0.00121479994614617 0.00107728680309668
"BF" 0.000442766179574788 0.000402267137259765
"BI" 9.16651814880185e-05 8.91937195987416e-05
"BK" 1.20561527369878e-06 1.16901144561211e-06
"BM" 1.32591758508629e-05 1.30293158461672e-05
"BP" 5.04707870233543e-06 4.86402291576994e-06
"BQ" 2.60151282880722e-05 2.42377886091856e-05
"BU" 3.55296055936254e-05 3.54470431942296e-05
"BV" 0.00102633826895729 0.000890499163748315
"CN" 0.00529940377248637 0.00442219671641829
"CO" 0.00642487827058177 0.00459232649242884
"CQ" 0.0261081823221221 0.0168801724219728
"CT" 0.000123014360497196 8.61308911152756e-05
"CU" 0.00559177823081106 0.00325847235097848
"DA" 0.00293134292779343 0.00198372709663778
"DB" 0.0175688114926141 0.0110092346800819
"DE" 0.00203064395042378 0.00165889761939701
"DI" 9.89044706607453e-05 9.82656755894625e-05
"DK" 7.77946632078255e-06 7.74769317603012e-06
"DM" 0.00723627119475764 0.00567556961425687
"DQ" 0.0042278936215093 0.00373598065695414
"DR" 0.0134345872884886 0.00884353462748004
"DS" 0.00249233133147212 0.00206797107227909
"DT" 1.88548660688746e-05 1.85619552973746e-05
"DW" 0.00240504204018563 0.00196342320037113
"DX" 0.00158278512917083 0.00114431791033245
"DY" 0.00100304852688217 0.000909102014939475
"EA" 0.00213265655099163 0.00188900014041747
"EC" 6.68848130649783e-05 6.39460284615489e-05
"EE" 0.000313612850903125 0.000286327790424103
"EI" 0.000214288064935128 0.000203612761912248
"EN" 0 0
"EO" 6.53041606586839e-07 6.51008629510657e-07
"EP" 9.89417487106714e-05 9.62983228491352e-05
"EQ" 0.000198390153294107 0.000185412925162954
"ER" 8.48844187364104e-06 8.19079276532526e-06
"ES" 9.00427116929503e-06 8.89997842266657e-06
"ET" 8.83632096260142e-05 8.52349488572602e-05
"EU" 7.90402392408098e-05 7.7050781088119e-05
"EV" 0.000735490305289397 0.00065045298291147
"EW" 1.94530647811161e-05 1.91817669589434e-05
"EX" 0.000108596135607493 0.000106365350717399
"FA" 3.52723304862901e-05 3.47338978094354e-05
"FE" 5.03111316950147e-05 4.90531026175541e-05
"FF" 0.000828319067378698 0.000741817829247617
"FI" 4.04412936850311e-05 3.75088032979348e-05
"FS" 4.82728355588991e-06 4.42721276506497e-06
"FU" 1.07944185516369e-05 1.02139149533728e-05
"FY" 0.00176317137963819 0.00163892588135952
"GA" 0.00325197108761258 0.00271252489312899
"GC" 4.0501845031735e-05 3.99453730879497e-05
"GM" 9.32073427012887e-05 8.38991237337877e-05
"GU" 0.00641439457756248 0.00549698267230741
"GY" 0.000418123055297176 0.000412138658386121
"HA" 0.0002748411798924 0.000268759089935639
"HB" 0.000548001757353247 0.000516257819135349
"HE" 1.17501273170061e-05 1.11583035747688e-05
"HF" 0.000120060980074901 0.000112726778931533
"HI" 8.69504397210057e-05 8.46829445901842e-05
"HL" 0.000937246363333715 0.000832956202755888
"HQ" 4.65972599826564e-05 4.44150675178168e-05
"HT" 0.00229955431084416 0.00180423439590431
"HY" 0.00609117584302582 0.00428667971586159
"IA" 0.0111874784879045 0.00816234325000689
"ID" 0.000229415082764541 0.00021802017892332
"IF" 2.92794486882887e-05 2.83283593120488e-05
"IG" 0.00143813816444513 0.00120087134411344
"IH" 0.000426040979913679 0.000392611647881262
"II" 0.000234834278909175 0.000220284294856473
"IJ" 3.84462820010686e-05 3.78433736350341e-05
"IK" 2.77497452591218e-05 2.73498035531091e-05
"IL" 0 0
"IM" 4.97895271594235e-05 4.75262195803223e-05
"IO" 3.79113845520366e-06 3.72144968076998e-06
"IP" 2.3247937035542e-06 2.26833428769978e-06
"IQ" 0.000117859843261265 0.000116345369604162
"IU" 8.69347160718399e-05 8.55693021169285e-05
"IX" 4.95392224955316e-06 4.91377252779866e-06
"IY" 0.00766255449538547 0.00612597369234303
"JA" 0.00516550798464772 0.00459126878427755
"JB" 0.000335971251214872 0.000320092270243614
"JI" 4.01603784905866e-05 3.82508866060545e-05
"JM" 0 0
"JO" 5.41275849204102e-05 5.20289897164767e-05
"JS" 6.03116158605454e-06 5.94372321640852e-06
"JU" 0.0137130429443373 0.0110676331950097
"JW" 2.74277474766472e-06 2.69926893640644e-06
"JY" 0.0218889953115706 0.0167476175621924
"KA" 0.000202192625030824 0.000185848727623449
"KI" 0.0039536007602916 0.003349922149464
"KM" 0.0114685592656299 0.00770433153517729
"KU" 8.8616703068252e-05 8.59956590113466e-05
"KV" 0.000152805891920833 0.0001455613045142
"KY" 1.17754558905702e-05 1.15967524283744e-05
"LE" 0.000215761508185286 0.000208675526555665
"LI" 0.000583720487921193 0.000457526096068407
"LJ" 0.000118718165852946 0.000107648193476115
"LQ" 0.000166551795211583 0.000149040379392674
"MA" 0.00525096538328715 0.00398756656793007
"MC" 0.000379353175330682 0.000264555954412114
"ML" 7.56156773622336e-06 6.54137512453808e-06
"MM" 2.57836266444373e-05 2.5559125668854e-05
"MQ" 0.000147439998912927 0.00013216473810607
"MR" 5.8248491154859e-06 5.74182102601289e-06
"MU" 0.000227649549063471 0.000196109175348611
"MW" 1.10800827840512e-05 1.07832474250072e-05
"MY" 0.000127453128520371 0.000119717609862261
"NE" 0.00775494653775987 0.00637228722808316
"NI" 0.0397455167931579 0.0256725177739596
"NM" 7.33272432538936e-06 7.2230490616994e-06
"NN" 0.0212512249801875 0.0142637737165547
"NQ" 0.000127327803662508 0.000124426246488948
"NS" 6.89228212913431e-05 6.57257582727273e-05
"NU" 0.000131691796448619 0.000129046565439494
"OA" 8.88123187583728e-05 8.45023113123524e-05
"OE" 2.10412733278331e-05 2.06916121910601e-05
"OI" 0.000774624757938142 0.000576417664281784
"OM" 2.76411975299774e-05 2.71359501957592e-05
"OO" 2.84667004609419e-05 2.50111844239824e-05
"OP" 0.000560410320867889 0.000449047125282966
"OR" 3.26520803293419e-07 3.22636145788603e-07
"OT" 1.60028478290229e-05 1.54151994405045e-05
"OU" 0.000105079367945525 9.47899340486841e-05
"OX" 7.46333264670673e-07 7.32930588897753e-07
"OY" 7.08451197448752e-06 6.99815535369391e-06
"OZ" 8.26712929563472e-06 7.47452737335061e-06
"PA" 3.64459410914179e-05 3.60606908932698e-05
"PC" 7.99538044410681e-05 7.94482061827565e-05
"PD" 4.60970545826004e-07 4.59512719016399e-07
"PE" 6.96941641305678e-05 6.88721763252279e-05
"PF" 2.15887872295178e-06 2.15612908580689e-06
"PG" 1.04486657053894e-06 1.0426332227112e-06
"PH" 0 0
"PI" 0.0111590798846652 0.00923806331237893
"PJ" 1.44512280428194e-05 1.31948550995524e-05
"PK" 2.16515017914454e-05 2.13055997309565e-05
"PM" 0.000144228446384714 0.000139829839446706
"PN" 0.000118781368261211 0.000117462487721783
"PO" 0.000388261126705366 0.000371398295679031
"PQ" 2.25598112932205e-05 2.24936890843575e-05
"PS" 0.000166114146002668 0.000162247717517823
"PT" 0.000382422754043905 0.000334084602824472
"PU" 5.14209172792246e-05 5.06731992296664e-05
"PW" 0.00214052333853954 0.00142881495713383
"PY" 0.00784235028899544 0.00590260943257945
"PZ" 1.57523031265533e-05 1.55692666804243e-05
"QA" 0.00959551846655156 0.00558736813984472
