"Q" "C"
"AA" 0.000943046654486213 0.000855680919573567
"AC" 1.2536766549441e-05 1.23810153212508e-05
"AD" 4.0100054760323e-05 3.65139313906668e-05
"AE" 3.77848602279731e-06 3.53533737550772e-06
"AF" 9.16949496524645e-07 9.02602709579272e-07
"AH" 0.000110274413852228 9.81778572605054e-05
"AI" 3.23089140197657e-06 3.18007326467e-06
"AM" 7.98028522669755e-06 7.46500337031623e-06
"AQ" 0.000272431199152068 0.000224042499234981
"AY" 0.000696802576028377 0.000437993982726677
"AZ" 4.14085979199197e-05 3.02867395652267e-05
"BA" 0.00656734654228826 0.00478085739944135
"BD" 3.94370220478442e-06 3.80265177043353e-06
"BF" 7.68261340057648e-05 6.98763687968577e-05
"BI" 2.80547949122997e-06 2.76498127696562e-06
"BK" 0 0
"BM" 6.74845797735217e-07 6.65923810273198e-07
"BP" 4.9378960809894e-07 4.80775895253881e-07
"BQ" 2.20856764929548e-06 2.03987020745108e-06
"BU" 2.94526769409467e-06 2.94177579005084e-06
"BV" 0.000163380762913223 0.0001344755567454
"CN" 0.000372532912950927 0.000300887414235566
"CO" 0.0022724261279297 0.00170788400725383
"CQ" 0.0405608489141615 0.0261535389004336
"CT" 0.000160148082322628 9.27738242519165e-05
"CU" 0.00281842593810318 0.00169495430420822
"DA" 0.00568404390030006 0.00375225846757068
"DB" 0.00281138305228234 0.00203726487429057
"DE" 0.000164120789730403 0.00014171810451413
"DI" 1.22273269296817e-05 1.21601622026014e-05
"DK" 2.56753259292374e-06 2.56014183452738e-06
"DM" 0.00860391453255241 0.00585113296599674
"DQ" 0.120760062658384 0.0604368195971762
"DR" 0.0241112144590872 0.0149146152340351
"DS" 0.00883273354462424 0.00544863231283556
"DT" 1.42302356676149e-05 1.41101653189195e-05
"DW" 0.000232811600484028 0.000207071448908891
"DX" 0.000978401566433987 0.00070555065103712
"DY" 0.000692943739738978 0.000636584547959907
"EA" 0.000635269488261871 0.000582255724247284
"EC" 3.71563689068602e-05 3.573173937578e-05
"EE" 0.00023251172883768 0.000214996215064827
"EI" 0.000139902863898815 0.000134491373492736
"EN" 0 0
"EO" 0 0
"EP" 7.15769215729589e-05 6.92528763946502e-05
"EQ" 0.000293447144378708 0.000258191412078296
"ER" 1.37645122560391e-05 1.30913739719751e-05
"ES" 4.27034187981576e-06 4.2135687728378e-06
"ET" 9.28697906989354e-05 8.92737320470789e-05
"EU" 1.26183786936334e-05 1.2166176481699e-05
"EV" 0.000607983518271554 0.000533878667232124
"EW" 2.92246672266573e-05 2.87505677535325e-05
"EX" 6.59390038280532e-05 6.4299632262856e-05
"FA" 5.83796443679068e-06 5.78341628833087e-06
"FE" 4.39061388579685e-07 4.20845677144391e-07
"FF" 0.00172826488464494 0.00118203385437703
"FI" 2.37691023870064e-05 2.22806376675395e-05
"FS" 2.53067174150707e-06 2.19610776484051e-06
"FU" 2.00908427827318e-05 1.88232721075915e-05
"FY" 0.000524507183234639 0.00047367451831858
"GA" 0.00240041341185951 0.00190373143761307
"GC" 6.00254716792885e-06 5.97552160707146e-06
"GM" 0.000246185855941145 0.00021052602883805
"GU" 3.27553668375203e-05 3.10298264329589e-05
"GY" 9.49747625875779e-05 9.37806656825449e-05
"HA" 2.3164494640035e-05 2.24384946774313e-05
"HB" 0.000120440276543946 0.000108219996372202
"HE" 3.17745644114892e-06 2.89730598642144e-06
"HF" 3.21026621544057e-05 2.91384274820301e-05
"HI" 3.20684294797689e-06 3.07731133318531e-06
"HL" 0.00177563032239531 0.0013551620442
"HQ" 2.55365130035054e-05 2.47609725335312e-05
"HT" 5.29090638006722e-05 4.5489576210543e-05
"HY" 0.00271625873998245 0.00190306804198913
"IA" 0.0253234219701741 0.0157391619521853
"ID" 1.5803338429282e-05 1.54750041074223e-05
"IF" 4.83988116354436e-05 4.70540489066404e-05
"IG" 0.0035211716906524 0.00251632965440342
"IH" 2.66115450953389e-05 2.58309957916742e-05
"II" 3.38503825759019e-05 3.28045793429222e-05
"IJ" 1.96222555398396e-05 1.92662297443732e-05
"IK" 1.22221594454091e-05 1.20719155366469e-05
"IL" 0 0
"IM" 9.13179495719371e-06 8.96257986323125e-06
"IO" 0 0
"IP" 2.40286003739055e-06 2.38124130764212e-06
"IQ" 0.000173081016704531 0.000170228583985661
"IU" 6.16255992461336e-05 6.08515294126541e-05
"IX" 0 0
"IY" 1.77254598859234e-05 1.57467210934791e-05
"JA" 0.000436017178222732 0.000414445531831618
"JB" 4.09850587873884e-06 4.03877284778844e-06
"JI" 2.46767811969939e-05 2.28273569155044e-05
"JM" 7.66654911607482e-06 7.10217518313926e-06
