"Q" "C"
"AA" 0.00111719348241662 0.00106058344477936
"AC" 2.28013178506662e-05 2.23988776419205e-05
"AD" 0.00631792327841217 0.00529547592857881
"AE" 0.000181645781368086 0.000153216493747051
"AF" 4.30052317060163e-05 4.06337797029663e-05
"AH" 0.0013906958380183 0.00108357643751047
"AI" 3.2960737348864e-05 3.21314511056362e-05
"AM" 0.00161410100179993 0.0012825633448515
"AQ" 0.000173004004753396 0.000155236227818161
"AY" 0.00558773640948712 0.00347012144880355
"AZ" 0.000266625061337232 0.000210590013736842
"BA" 0.00065267303757367 0.000582292374492377
"BD" 0.0254261957886324 0.0140567241853643
"BF" 0.0034403498307566 0.00279417039032946
"BI" 0.000295398177321195 0.000272344517200157
"BK" 2.43711432665781e-06 2.25317750352224e-06
"BM" 2.75561372422328e-05 2.67993889688716e-05
"BP" 4.80930837139467e-06 4.51473593941795e-06
"BQ" 4.84836403564435e-05 4.27747259991196e-05
"BU" 0.000160279315423229 0.000159021392865125
"BV" 0.00613013399789159 0.00457351105770266
"CN" 0.0475020145005973 0.0317928530299679
"CO" 0.00445523331462694 0.00320327449128837
"CQ" 0.048101818147305 0.0297813382459778
"CT" 3.89749402176646e-05 2.8271192462213e-05
"CU" 0.0390439971131139 0.0190345826854197
"DA" 0.00307369210614785 0.00201914482002667
"DB" 0.00821905474269238 0.00545075407647389
"DE" 0.0054782127497788 0.00399390848021382
"DI" 5.67035193337953e-05 5.61177843633097e-05
"DK" 8.12303064465042e-06 8.06660394751636e-06
"DM" 0.00150821926664179 0.00124201653244524
"DQ" 0.000990210910135104 0.000908617561044956
"DR" 0.0121074114904144 0.00789972046569328
"DS" 0.00034759729757087 0.000306646655118503
"DT" 3.24056547088745e-05 3.17567893411293e-05
"DW" 0.000617848258541483 0.000530135478435803
"DX" 0.000491565885363804 0.00036502663292204
"DY" 0.0005352988279381 0.000485674990856862
"EA" 0.000683219870139008 0.000609543768701133
"EC" 9.27489738615204e-05 8.8585185262475e-05
"EE" 0.000211329310988655 0.00019412401757972
"EI" 0.000169064308543593 0.000160030488346767
"EN" 0 0
"EO" 4.9448696482912e-07 4.91903764710662e-07
"EP" 0.000274954200031185 0.000263584510875675
"EQ" 0.000286036074058541 0.000260129385485161
"ER" 6.67966991618264e-05 6.26051964598482e-05
"ES" 2.47487377341968e-05 2.43121941889877e-05
"ET" 7.95904074557634e-05 7.60797337650091e-05
"EU" 6.36375516207093e-05 6.17407454750777e-05
"EV" 0.00233202317796807 0.0020009187049033
"EW" 6.41858761506106e-05 6.28058436536332e-05
"EX" 0.000143475815457803 0.000139190406352881
"FA" 2.93656333773115e-05 2.85990867225916e-05
"FE" 3.23662737479358e-05 3.12785905550895e-05
"FF" 0.000149327587328531 0.00014083654874623
"FI" 5.37794207959869e-05 4.9801741248176e-05
"FS" 0 0
"FU" 3.19603009720541e-05 3.0429583571504e-05
"FY" 0.000480712463114149 0.000456896769778105
"GA" 0.000434738846911189 0.000384882242200282
"GC" 0.00053259041361916 0.000507428852621688
"GM" 0.000110362656159685 9.75687113437031e-05
"GU" 0.122903648768307 0.0632686100087986
"GY" 0.000285390247755979 0.000277797026999693
"HA" 9.0580807819531e-05 8.82661842080888e-05
"HB" 6.79174599614364e-05 6.49266977437941e-05
"HE" 1.57286239369588e-05 1.45381757704297e-05
"HF" 7.08520389240407e-05 6.64429550556515e-05
"HI" 0.000127605841941056 0.000121480604290317
"HL" 9.85071883539395e-05 9.19054328842406e-05
"HQ" 2.71713295282348e-05 2.58377555010074e-05
"HT" 0.048868976018177 0.0247549089236519
"HY" 0.00860302340759233 0.00576806073322253
"IA" 0.0108482467210453 0.00791248221379575
"ID" 0.00010972501547838 0.000102708617866168
"IF" 9.26366380668916e-05 8.86370628183029e-05
"IG" 0.000578202457829226 0.000488951763108594
"IH" 0.000661192710081974 0.000568276869590146
"II" 0.00010916985915746 0.000101797504691943
"IJ" 3.18614732222211e-05 3.11329594587341e-05
"IK" 1.34753035850167e-05 1.32412189355134e-05
"IL" 5.22629741498555e-06 4.90200779556931e-06
"IM" 0.00016063144866658 0.000145709135236758
"IO" 0.000132922902539106 0.000124470724577935
"IP" 9.01701544847671e-06 8.57612334819606e-06
"IQ" 0.000178593668254048 0.000175378675787571
"IU" 9.6837250761194e-05 9.48277626967097e-05
"IX" 1.18854023288614e-05 1.14488094672028e-05
"IY" 0.0344665635385965 0.0216634162681706
"JA" 0.0190998367063474 0.0145113896451961
"JB" 0.000483025410868899 0.000400919840505648
"JI" 3.76336855377462e-05 3.54294480588759e-05
"JM" 0 0
"JO" 1.5976007594499e-05 1.5367873005894e-05
"JS" 6.77633043166309e-06 6.6082589453645e-06
