"Q" "C"
"AA" 0.000884864129231062 0.000784858776659979
"AC" 0.00104638154629681 0.000944323864275481
"AD" 4.29375796359702e-05 4.20737804908582e-05
"AE" 0.000530879805104634 0.000443405144045489
"AF" 0 0
"AH" 0.000183703203120087 0.000168952311193826
"AI" 0.000332423787146068 0.000275551379228567
"AM" 0.000198339376070827 0.000187994418673627
"AQ" 0 0
"AY" 6.37779001189313e-05 6.08745427348592e-05
"AZ" 0 0
"BA" 9.81932048426799e-06 9.72936839718765e-06
"BD" 1.25382813907404e-05 1.1790169584298e-05
"BF" 0.000166738783600202 0.0001575322812936
"BI" 0.000501098507930565 0.000453512944461824
"BK" 3.8572806171649e-06 3.20469456330696e-06
"BM" 2.28309312205166e-05 2.25119020504762e-05
"BP" 7.71047854315778e-05 6.51443872202431e-05
"BQ" 5.24721344270494e-06 5.06325710468104e-06
"BU" 0.00181805583310738 0.00172419711258683
"BV" 0 0
"CN" 4.24848375668048e-05 4.1797039177269e-05
"CO" 0.000472936120302364 0.000416937746152131
"CQ" 0.000965132851319585 0.000904242245924167
"CT" 1.34087552265671e-05 1.27075426890879e-05
"CU" 0.000183534819700467 0.000170561590093989
"DA" 0.000630408198163117 0.000564203877889086
"DB" 0.00322978450028153 0.00288078444953961
"DE" 0.000392148631892165 0.000376521779310667
"DI" 0.000138136440508668 0.000136762657440403
"DK" 0.000129953620792579 0.000129260314528546
"DM" 7.45208490443703e-05 7.24996274605703e-05
"DQ" 5.92481701806702e-05 5.85615750484368e-05
"DR" 0.000181881575475419 0.000174293158422325
"DS" 1.17832744707527e-05 1.16195263047063e-05
"DT" 0.00294264445769251 0.00233681827498708
"DW" 0.00255037579920209 0.00191237461578426
"DX" 0.000114973764522747 0.000105488379137549
"DY" 0.00638171619624601 0.00407685325207306
"EA" 0.00422157108999229 0.00346628117883565
"EC" 0.00312152187129605 0.00245577113642446
"EE" 0.00036918402451655 0.000321913765422891
"EI" 0.0286158376242225 0.016017151031633
"EN" 0 0
"EO" 0 0
"EP" 0.00174250476485781 0.0016237823456367
"EQ" 0 0
"ER" 8.31594461702982e-05 7.78005785204239e-05
"ES" 0.000184054877941088 0.000170554515248266
"ET" 0.000381815203023263 0.000356340820708467
"EU" 0 0
"EV" 0.00405015304840978 0.00334876108900046
"EW" 0.000569790727349922 0.000539349081289355
"EX" 0.000545344716869525 0.000512730315433437
"FA" 0.00612747333681314 0.00471829152433904
"FE" 1.97601042142483e-05 1.96811778722726e-05
