"Q" "C"
"AA" 0.000663222749366038 0.000615493151278067
"AC" 0.000789605497045467 0.000744354823818015
"AD" 0.000324673451485342 0.000306550991624499
"AE" 0.00982071330803318 0.00620941354029086
"AF" 0.000725932178906825 0.000659688751286111
"AH" 0.00316298425324349 0.00248487271941162
"AI" 0.000259689498764453 0.000232577623039875
"AM" 0.0129289655906298 0.0103778472519715
"AQ" 4.07837866810308e-05 3.95403214068971e-05
"AY" 1.95235983312211e-05 1.80614201095837e-05
"AZ" 2.1900820898942e-05 2.04738513150787e-05
"BA" 6.63286124822534e-06 6.52519790963446e-06
"BD" 0.00201417129185193 0.00146479227863838
"BF" 0.000220840113926641 0.000197072651900359
"BI" 0.00033096716201368 0.000286073558558759
"BK" 1.50352039824304e-05 1.12090294971524e-05
"BM" 0.000123387634827505 0.000117502075265982
"BP" 7.95597737489761e-05 6.82421037806231e-05
"BQ" 1.31377801616532e-05 1.23080334062263e-05
"BU" 0.00232656531263332 0.00222374070481598
"BV" 8.41215067344318e-06 8.18668278181111e-06
"CN" 8.99196921644805e-05 8.58668160763734e-05
"CO" 0.00242225403192727 0.00206906953089452
"CQ" 0.00432774399158531 0.00385363025642153
"CT" 0 0
"CU" 0.0016892492189105 0.00141747604911997
"DA" 0.000811743083571984 0.000716106614218387
"DB" 0.0164790487648321 0.0130106456809682
"DE" 0.00566408229169449 0.00488357251410398
"DI" 0.000425689323987801 0.000417124546029873
"DK" 0.000143573847198244 0.000141075096682039
"DM" 0.000312931212926163 0.00029881649414786
"DQ" 4.72124269451745e-05 4.6307948639384e-05
"DR" 0.00043948837804349 0.000403541883432035
"DS" 3.6680983784437e-05 3.5657726441314e-05
"DT" 0.00167869541901474 0.00141918024626596
"DW" 0.00310153684844251 0.00244907242765736
"DX" 0.00023887506460933 0.000213448141872392
"DY" 0.00563310956299792 0.00469286261270412
"EA" 0.00711120791339801 0.00596354830355004
"EC" 0.00118720574852896 0.00107519000367339
"EE" 0.000548877291457493 0.000504033174346206
"EI" 0.0107127168129692 0.00868576975118022
"EN" 0 0
"EO" 5.38916997240503e-06 5.370013644768e-06
"EP" 0.00153659667039887 0.00144903314131342
"EQ" 3.67500913280696e-05 3.62547487696659e-05
"ER" 0.000116410548538108 0.000110357241574931
"ES" 0.000140055256021113 0.000134207153539939
"ET" 0.000490766334768603 0.000463159755298695
"EU" 6.31692353155484e-05 6.19242191839981e-05
"EV" 0.00667622601139985 0.00546039921876209
"EW" 0.00105298352288102 0.00100657239121331
"EX" 0.000869224575224341 0.00082816959478146
"FA" 0.00112841023827373 0.000905984089159357
"FE" 8.48419401892321e-06 8.39438682126533e-06
"FF" 1.82151525891591e-05 1.79117833020756e-05
"FI" 0.000377490571148665 0.000334295183471748
"FS" 3.13836602070131e-06 3.07826573828741e-06
"FU" 7.92793167456869e-05 7.58213422218164e-05
"FY" 7.06217899214602e-05 6.94402197868098e-05
"GA" 6.24194181618152e-05 6.04596566822792e-05
"GC" 0.0178911965741204 0.0138008405362122
"GM" 1.31694674622523e-05 1.28459006901058e-05
"GU" 0.0195261506014466 0.0142433383953599
"GY" 0.00348154659945843 0.00331404748359413
"HA" 0.000129880427286173 0.000127855758199661
"HB" 6.75957299948244e-05 6.50866056543661e-05
"HE" 3.17057217106178e-06 3.13752941385646e-06
"HF" 2.58981065381145e-05 2.49658601042905e-05
"HI" 1.66017369395023e-05 1.64647420165743e-05
"HL" 8.40883090303186e-05 8.14952308708101e-05
"HQ" 0.00163027361445414 0.00134068163872715
"HT" 0.000670269763763794 0.000573484658408835
"HY" 4.32973108330532e-05 4.0363004648642e-05
"IA" 0.000470048525462196 0.000440900043476334
"ID" 0.00791947481535182 0.00563125077167378
"IF" 0.00140326537550669 0.00114149920977677
"IG" 0.000281052242240821 0.000257415722513402
"IH" 0.0614675414657768 0.028549702956046
"II" 0.0405966177259543 0.0275866715363959
"IJ" 0.000520168950989624 0.000484441444492641
"IK" 0.00015679623367628 0.000142250203124399
"IL" 0.000405651664123898 0.000306924249020938
"IM" 0.0616041967683688 0.0323529973178639
"IO" 0.00527590682392354 0.00375944764793852
"IP" 0.00076311387276611 0.000539081046432785
"IQ" 0.0022623668944798 0.00211282600414174
"IU" 0.00907952400983001 0.00777167854135006
"IX" 0.00587562707176758 0.00448641030930934
"IY" 0.000401266800816674 0.000348527262199133
"JA" 0.146648644397162 0.0639245140780295
"JB" 0.00444163164206611 0.00314780810540262
"JI" 4.06674945249091e-05 3.90578963626688e-05
"JM" 1.48600554280067e-06 1.44897377085869e-06
"JO" 1.1836406109576e-05 1.1680818614849e-05
"JS" 2.50404533298087e-06 2.47923653914413e-06
"JU" 0.00502114889698809 0.00421640551393421
"JW" 0 0
"JY" 0.0024315721711248 0.00213775960848396
"KA" 0.00440890169168759 0.00333658303276086
"KI" 5.42013795847802e-05 5.28154700269209e-05
"KM" 0.000924553616685159 0.000819028589952584
"KU" 0.00275349335680416 0.00230119812167139
"KV" 0.00893525738823847 0.00572033872487309
"KY" 0.0056433750411147 0.00419820287207157
"LE" 0.0824872290555227 0.0500550662772258
"LI" 2.26632948842827e-05 2.16493895408251e-05
"LJ" 1.19962653705734e-05 1.17546852014272e-05
"LQ" 6.09607651735687e-05 5.89968064824521e-05
"MA" 6.63846712340252e-05 6.36040688503385e-05
"MC" 0.000118360357212944 0.000102072526922592
"ML" 0 0
"MM" 5.9782132590973e-05 5.85127258011121e-05
"MQ" 8.24772446111014e-05 7.53824019216436e-05
"MR" 1.24288816277505e-05 1.20629905159162e-05
"MU" 0.00101276641557067 0.000898279503272187
"MW" 4.93401854638585e-05 4.69855513041317e-05
"MY" 1.97154263798979e-05 1.94543111001835e-05
"NE" 0.00390590663204379 0.00347007024208783
"NI" 0.000493376033658452 0.000467325468248948
"NM" 7.54134668296041e-06 7.36923417872204e-06
"NN" 0.000644637905810784 0.000606252846675922
"NQ" 3.17984401754654e-05 3.13608131852908e-05
"NS" 0.000701016009336184 0.000594816150811096
"NU" 0.000257210985511606 0.000249085244892858
"OA" 0.00114575289268143 0.000993769146811327
"OE" 0.000646588492918739 0.000617060390946246
"OI" 3.19972846905688e-05 2.93212723664183e-05
"OM" 0.000245769742290088 0.000241025272916041
"OO" 1.101418002614e-06 1.06336192652646e-06
"OP" 0.000105608514079567 9.58862895757588e-05
"OR" 7.28714256565715e-06 7.11428813196373e-06
"OT" 1.97646057416839e-06 1.96111273945119e-06
"OU" 0.0205724932537023 0.00975734763430831
"OX" 3.48282549093908e-07 3.44895667278609e-07
"OY" 1.13388683809356e-06 1.12824179045328e-06
"OZ" 2.86392618767116e-06 2.73273012457302e-06
"PA" 9.74210466103175e-06 9.67423316315939e-06
"PC" 0.000520433738418386 0.000508869857889402
"PD" 0 0
"PE" 0.00151766378959551 0.00142927304483377
"PF" 0 0
"PG" 4.20567606453021e-07 4.20120858083314e-07
"PH" 0 0
"PI" 0.0168264569570135 0.0122510388538234
"PJ" 0.000131910909907672 0.000109008417498932
"PK" 0.000360452765031977 0.000316943485518952
"PM" 0.00425387336433486 0.00362029832967135
"PN" 0.00231686150677576 0.00221333227304263
"PO" 0.00199056764999738 0.00172912753080384
